stopname,longitude,latitude,id
Oakland Ave,-74.0524783,40.7376037,3207
JC Medical Center,-74.0496379137039,40.71653978099194,3205
Paulus Hook,-74.0335519,40.7141454,3184
Warren St,-74.03805095,40.7211236,3187
Bergen Ave,-74.07145500183105,40.722103786686034,3679
Essex Light Rail,-74.0364857,40.7127742,3214
Grand St,-74.03768330812454,40.71517767732029,3681
Brunswick & 6th,-74.05038893222809,40.72601172964625,3269
Communipaw & Berry Lane,-74.06661093235016,40.71435836870427,3277
Astor Place,-74.07126188278198,40.71928220070702,3280
Fairmount Ave,-74.07195925712585,40.72572613742557,3678
Monmouth and 6th,-74.04879033565521,40.72568548362901,3278
Jersey & 6th St,-74.04557168483734,40.72528910781132,3270
Sip Ave,-74.06378388404846,40.73074262530658,3195
Sip Ave,-74.06391263008118,40.73089709786179,3195
Jackson Square,-74.0789,40.71113,3694
Jersey & 3rd,-74.04595255851744,40.72333158646436,3272
Columbus Dr at Exchange Pl,-74.03281,40.71687,3792
Central Ave,-74.0492509,40.7467299,3215
Dixon Mills,-74.04996782541275,40.721630142638354,3279
West Side Light Rail,-74.0887723,40.714402,3189
Lincoln Park,-74.07840594649315,40.7246050998869,3193
Manila & 1st,-74.04288411140442,40.721650724879986,3273
Morris Canal,-74.03852552175522,40.7124188237569,3267
Pershing Field,-74.051788633,40.742677141,3210
Baldwin at Montgomery,-74.0641943,40.7236589,3225
5 Corners Library,-74.0595030784607,40.734961020009514,3220
Dey St,-74.066921,40.737711,3201
Harborside,-74.034234,40.7192517,3639
Hamilton Park,-74.044247311,40.727595966,3203
Leonard Gordon Park,-74.0572714805603,40.74590996631558,3281
Exchange Place,-74.0334588,40.7162469,3183
Columbia Park,-74.0969366,40.6970299,3216
Washington St,-74.0354826,40.7242941,3638
MLK Light Rail,-74.0788855,40.7111305,3200
Marin Light Rail,-74.04281705617905,40.71458403535893,3276
Glenwood Ave,-74.07106071710587,40.72755146730012,3677
Columbus Drive,-74.03891444206238,40.71835519823214,3275
McGinley Square,-74.06762212514877,40.7253399253558,3194
York St,-74.04105,40.71649,3481
Riverview Park,-74.0439909,40.7443187,3196
Hoboken Ave at Monmouth St,-74.04696375131607,40.73520838045357,3791
Heights Elevator,-74.04044330120087,40.748715945380226,3198
Liberty Light Rail,-74.0557013,40.7112423,3192
Bayside Park,-74.082079678,40.698650544,3217
Van Vorst Park,-74.047726625,40.71848892,3213
NJCU,-74.0858489,40.7101087,3188
Christ Hospital,-74.050443636,40.734785818,3212
Newark Ave,-74.046304543,40.72152515,3211
Grove St PATH,-74.04311746358871,40.71958611647166,3186
Garfield Ave Station,-74.07003879547119,40.7104670233797,3190
North St,-74.044725,40.752559,3197
Newport PATH,-74.0337589,40.7272235,3202
Lafayette Park,-74.06285852193832,40.71346382669195,3268
Newport Pkwy,-74.0321082,40.7287448,3199
Danforth Light Rail,-74.08801227807997,40.69263996618329,3271
JCBS Depot,-74.06860113143921,40.70965083364061,3426
Hilltop,-74.0575736,40.7311689,3206
Montgomery St,-74.05099,40.71942,3483
Bethune Center,-74.08593088388443,40.704957516728605,3274
City Hall,-74.043845,40.7177325,3185
Brunswick St,-74.0506564,40.7241765,3209
Journal Square,-74.0625,40.733670000000004,3640
Union St,-74.0836394,40.7182113,3191
